Code,mmddyy,Road_segement,Class,Order,Family,Species,UTMzone,Xcoordinate,Ycoordinate,Time,Altitud_m,Land_cover
D6PA12,11/3/2014,Papallacta,Aves,Cuculiformes,Cuculidae,Crotophaga ani,17M,823700,9959315,12:52,2793,P
D55PA89,12/7/2014,Papallacta,Mammalia,Didelphimorphia,Didelphidae,Didelphis pernigra,17M,827235,9956946,14:36,2606,P
D16PA31,8/4/2014,Papallacta,Mammalia,Didelphimorphia,Didelphidae,Didelphis pernigra,17M,828046,9956235,12:22,2548,P
D45PA71,6/14/14,Papallacta,Mammalia,Carnivora,Felidae,Herpailurus  yagouaroundi,17M,828094,9956210,9:18,2552,P
D71PA119,8/20/14,Papallacta,Aves,Passeriformes,,,17M,829455,9954826,14:21,2498,P
D60PA95,7/26/14,Papallacta,Mammalia,Didelphimorphia,Didelphidae,Didelphis pernigra,17M,830375,9954677,15:35,2466,P
D69PA110,8/18/14,Papallacta,Mammalia,Didelphimorphia,Didelphidae,Didelphis pernigra,17M,830657,9954612,16:40,2459,P
D8PA14,3/13/14,Papallacta,Mammalia,Didelphimorphia,Didelphidae,Didelphis pernigra,17M,833313,9953112,16:21,2425,P
D27PA38,4/29/14,Papallacta,Mammalia,Didelphimorphia,Didelphidae,Didelphis pernigra,17M,833528,9952830,13:02,2406,P
D68PA105,8/16/14,Papallacta,Mammalia,Didelphimorphia,Didelphidae,Didelphis pernigra,18M,166124,9952675,12:13,2354,P/S
D50PA80,6/28/14,Papallacta,Mammalia,Didelphimorphia,Didelphidae,Didelphis pernigra,18M,171592,9950236,11:53,1967,P/S
D49PA77,6/22/14,Papallacta,Mammalia,Rodentia,,,18M,174027,9948962,15:13,1915,P/S
D65CH199,9/8/2014,Chaco,Mammalia,Didelphimorphia,Didelphidae,Didelphis pernigra,18M,177494,9949070,9:49,1796,P/S
D61CO128,7/27/14,Cotundo,Mammalia,Didelphimorphia,Didelphidae,Didelphis pernigra,18M,180334,9948827,11:42,1910,P/S
D48CO109,6/21/14,Cotundo,Amphibia,Gymnophiona,Caeciliidae,Caecilia sp.,18M,184356,9932637,15:09,2173,P/S
D58CH179,7/20/14,Chaco,Reptilia,Squamata,Colubridae,Dipsas sp.,18M,190685,9967507,10:23,1585,P/S
D49PA78,6/22/14,Papallacta,Mammalia,Didelphimorphia,Didelphidae,Didelphis pernigra,17M,820208,9958354,15:56,2995,P/S
D50PA83,6/28/14,Papallacta,Mammalia,Didelphimorphia,Didelphidae,Didelphis pernigra,17M,820511,9958511,12:41,2961,P/S
D25PA36,4/25/14,Papallacta,Mammalia,Didelphimorphia,Didelphidae,Didelphis pernigra,18M,170780,9950928,17:44,2053,P/F
D22PA34,4/16/14,Papallacta,Mammalia,Didelphimorphia,Didelphidae,Didelphis pernigra,18M,173893,9949133,9:45,1918,P/F
D10PA19,3/15/14,Papallacta,Reptilia,Squamata,Colubridae,Chironius sp.,18M,174227,9948683,13:43,1910,P/F
D31PA42,3/5/2014,Papallacta,Aves,,,,18M,174393,9948738,14:07,1908,P/F
D69PA111,8/18/14,Papallacta,Mammalia,Didelphimorphia,Didelphidae,Didelphis pernigra,18M,174523,9948776,17:06,1905,P/F
D39PA62,5/30/14,Papallacta,Aves,Galliformes,Cracidae,Penelope montagnii,18M,174852,9948924,10:20,1923,P/F
D11PA20,3/27/14,Papallacta,Mammalia,Didelphimorphia,Didelphidae,Didelphis pernigra,18M,176036,9948450,15:34,1851,P/F
D53PA86,6/7/2014,Papallacta,Mammalia,Didelphimorphia,Didelphidae,Didelphis pernigra,18M,176278,9948560,9:32,1837,P/F
D34CH79,5/16/14,Chaco,Mammalia,Didelphimorphia,Didelphidae,Didelphis pernigra,18M,177348,9949003,11:02,1815,P/F
D25CH59,4/25/14,Chaco,Aves,Passeriformes,Troglodytidae,Troglodytes aedon,18M,177393,9949026,13:33,1818,P/F
D64CO141,8/8/2014,Cotundo,Mammalia,Didelphimorphia,Didelphidae,Didelphis pernigra,18M,179583,9939786,10:27,1937,P/F
D31CO49,3/5/2014,Cotundo,Mammalia,Didelphimorphia,Didelphidae,Didelphis pernigra,18M,179745,9938500,15:03,1893,P/F
D60CO124,7/26/14,Cotundo,Mammalia,Didelphimorphia,Didelphidae,Didelphis pernigra,18M,179761,9938309,10:02,1900,P/F
D39CO81,5/30/14,Cotundo,Mammalia,Rodentia,Echimyidae,,18M,179894,9937800,14:31,1920,P/F
D37CO73,5/24/14,Cotundo,Mammalia,Didelphimorphia,Didelphidae,Didelphis pernigra,18M,180334,9948835,15:57,1909,P/F
D62CO134,2/8/2014,Cotundo,Mammalia,Didelphimorphia,Didelphidae,Didelphis pernigra,18M,181073,9948731,12:09,1907,P/F
D22CO25,4/16/14,Cotundo,Reptilia,Squamata,Colubridae,Dipsas sp.,18M,181125,9948279,10:41,1884,P/F
D37CO74,5/24/14,Cotundo,Reptilia,Squamata,Colubridae,Dipsas peruana,18M,181149,9948367,16:06,1893,P/F
D10CO14,3/15/14,Cotundo,Reptilia,Squamata,Colubridae,Atractus sp.,18M,184039,9931777,8:21,2192,P/F
D44CO100,8/6/2014,Cotundo,Reptilia,Squamata,Colubridae,Atractus sp.,18M,184184,9932318,10:56,2160,P/F
D32CH77,4/5/2014,Chaco,Aves,,,,18M,186318,9961474,15:00,1616,P/F
D32CH76,4/5/2014,Chaco,Reptilia,Squamata,Colubridae,Atractus sp.,18M,186324,9961467,14:57,1607,P/F
D25CH61,4/25/14,Chaco,Reptilia,Squamata,Elapidae,Micrurus sp.,18M,189266,9964347,15:04,1478,P/F
D27CH65,4/29/14,Chaco,Mammalia,Didelphimorphia,Didelphidae,Didelphis pernigra,18M,190109,9966519,11:27,1517,P/F
D32CH75,4/5/2014,Chaco,Mammalia,Rodentia,Sciuridae,Notosciurus granatensis,18M,190368,9967083,14:33,1547,P/F
D50PA82,6/28/14,Papallacta,Mammalia,Didelphimorphia,Didelphidae,Didelphis pernigra,17M,824408,9959388,12:32,2817,P/F
D44PA69,8/6/2014,Papallacta,Mammalia,Didelphimorphia,Didelphidae,Didelphis pernigra,17M,832167,9953827,9:36,2405,P/F
D3PA8,8/3/2014,Papallacta,Mammalia,Didelphimorphia,Didelphidae,Didelphis pernigra,18M,173084,9949485,8:47,1929,P/F
D44CO104,8/6/2014,Cotundo,Aves,Passeriformes,Hirundinidae,Notiochelidon cyanoleuca,18M,177768,9948805,12:55,1917,P/F
D12CH36,3/28/14,Chaco,Aves,Passeriformes,,,18M,183717,9954445,12:46,1718,P/F
D70CH212,8/19/14,Chaco,Aves,Passeriformes,,,18M,176735,9948892,7:53,1834,U/P
D70CH211,8/19/14,Chaco,Aves,Passeriformes,,,18M,176736,9948895,7:52,1834,U/P
D44CO102,8/6/2014,Cotundo,Aves,Passeriformes,,,18M,181881,9935387,11:44,1963,U/P
D44CO101,8/6/2014,Cotundo,Aves,Passeriformes,,,18M,181886,9935388,11:41,1976,U/P
D35CH87,5/17/14,Chaco,Reptilia,Squamata,Colubridae,Atractus sp.,18M,184821,9955520,14:15,1676,U/P
D37CH94,5/24/14,Chaco,Mammalia,Didelphimorphia,Didelphidae,Didelphis pernigra,18M,186540,9961803,11:15,1622,U/P
D55CH166,12/7/2014,Chaco,Reptilia,Squamata,Colubridae,Atractus sp.,18M,177469,9949207,11:12,1789,C/P
D37CH97,5/24/14,Chaco,Aves,Passeriformes,,,18M,180478,9950720,11:54,1853,C/P
D12CH35,3/28/14,Chaco,Mammalia,Didelphimorphia,Didelphidae,Didelphis pernigra,18M,184108,9955011,12:39,1682,C/P
D30CH71,2/5/2014,Chaco,Reptilia,Squamata,Colubridae,Atractus sp.,18M,184415,9955295,11:25,1661,C/P
D12CH34,3/28/14,Chaco,Mammalia,Didelphimorphia,Didelphidae,Didelphis pernigra,18M,185203,9955626,12:32,1661,C/P
D6CH20,11/3/2014,Chaco,Mammalia,Didelphimorphia,Didelphidae,Didelphis pernigra,18M,189308,9964234,16:16,1508,C/P
D55CH168,12/7/2014,Chaco,Reptilia,Squamata,Colubridae,Atractus sp.,18M,189841,9966152,12:19,1497,C/P
D55CH169,12/7/2014,Chaco,Reptilia,Squamata,Colubridae,Atractus sp.,18M,189965,9965833,12:25,1504,C/P
